"month","monthly_sales"
"2010-02-01 00:00:00+08","190336019.06"
"2010-03-01 00:00:00+08","181923571.40"
"2010-04-01 00:00:00+08","231413997.43"
"2010-05-01 00:00:00+08","186711595.07"
"2010-06-01 00:00:00+08","192246912.44"
"2010-07-01 00:00:00+08","232582656.33"
"2010-08-01 00:00:00+08","187641557.97"
"2010-09-01 00:00:00+08","177271696.00"
"2010-10-01 00:00:00+08","217169578.16"
"2010-11-01 00:00:00+08","202855174.96"
"2010-12-01 00:00:00+08","288766124.20"
"2011-01-01 00:00:00+08","163705405.25"
"2011-02-01 00:00:00+08","186332642.15"
"2011-03-01 00:00:00+08","179360008.14"
"2011-04-01 00:00:00+08","226529101.61"
"2011-05-01 00:00:00+08","181649068.21"
"2011-06-01 00:00:00+08","189774964.55"
"2011-07-01 00:00:00+08","229914999.08"
"2011-08-01 00:00:00+08","188601612.46"
"2011-09-01 00:00:00+08","220855432.16"
"2011-10-01 00:00:00+08","183263051.32"
"2011-11-01 00:00:00+08","210163373.63"
"2011-12-01 00:00:00+08","288082965.31"
"2012-01-01 00:00:00+08","168896467.37"
"2012-02-01 00:00:00+08","192065211.61"
"2012-03-01 00:00:00+08","231513812.46"
"2012-04-01 00:00:00+08","188922691.71"
"2012-05-01 00:00:00+08","188769092.70"
"2012-06-01 00:00:00+08","240611600.61"
"2012-07-01 00:00:00+08","187511286.18"
"2012-08-01 00:00:00+08","236854694.59"
"2012-09-01 00:00:00+08","180647997.59"
"2012-10-01 00:00:00+08","184362786.96"
